Year,Name,Frequency,Rank
1980,Ben,8,273
1980,Caleb,8,273
1980,Damien,8,273
1980,Darin,8,273
1980,Davin,8,273
1980,Don,8,273
1980,Dusty,8,273
1980,Edwin,8,273
1980,Elijah,8,273
1980,Francis,8,273
1980,Jerry,8,273
1980,Kelvin,8,273
1980,Kenton,8,273
1980,Lane,8,273
1980,Liam,8,273
1980,Marcus,8,273
1980,Oliver,8,273
1980,Preston,8,273
1980,Trenton,8,273
1980,Tristan,8,273
1980,Wyatt,8,273
1980,Brady,7,296
1980,Colby,7,296
1980,Desmond,7,296
1980,Dwight,7,296
1980,Gilbert,7,296
1980,Glenn,7,296
1980,Jack,7,296
1980,Jan,7,296
1980,Jarrett,7,296
1980,Jon,7,296
1980,Julien,7,296
1980,Kris,7,296
1980,Kristofer,7,296
1980,Lloyd,7,296
1980,Mackenzie,7,296
1980,Malcolm,7,296
1980,Mario,7,296
1980,Michel,7,296
1980,Mohammad,7,296
1980,Regan,7,296
1980,Reuben,7,296
1980,Robbie,7,296
1980,Shannon,7,296
1980,Stacey,7,296
1980,Theodore,7,296
1980,Tyrone,7,296
1980,Adrien,6,322
1980,Alain,6,322
1980,Alim,6,322
1980,Alvin,6,322
1980,Angus,6,322
1980,Braden,6,322
1980,Carlos,6,322
1980,Chadwick,6,322
1980,Conor,6,322
1980,Darrin,6,322
1980,Donovan,6,322
1980,Eli,6,322
1980,Galen,6,322
1980,Gerard,6,322
1980,Gilles,6,322
1980,Gregg,6,322
1980,Jarred,6,322
1980,John-Paul,6,322
1980,Jonah,6,322
1980,Leon,6,322
1980,Loren,6,322
1980,Lyndon,6,322
1980,Marco,6,322
1980,Marvin,6,322
1980,Mitchel,6,322
1980,Nigel,6,322
1980,Noel,6,322
1980,Philippe,6,322
1980,Randolph,6,322
1980,Reid,6,322
1980,Ron,6,322
1980,Sidney,6,322
1980,Stewart,6,322
1980,Tommy,6,322
1980,Tylor,6,322
1980,Tyrel,6,322
1980,Vance,6,322
1980,Ahmed,5,359
1980,Austin,5,359
1980,Boyd,5,359
1980,Brant,5,359
1980,Cheyenne,5,359
1980,Clark,5,359
1980,Codey,5,359
1980,Cole,5,359
1980,Damon,5,359
1980,Dominic,5,359
1980,Elliott,5,359
1980,Ernest,5,359
1980,Giuseppe,5,359
1980,Harold,5,359
1980,Harvey,5,359
1980,Herman,5,359
1980,Imran,5,359
1980,Jade,5,359
1980,Jaret,5,359
1980,Jasen,5,359
1980,Jefferey,5,359
1980,Johnathon,5,359
1980,Jonas,5,359
1980,Keegan,5,359
1980,Kendall,5,359
1980,Layne,5,359
1980,Leland,5,359
1980,Lindsay,5,359
1980,Lionel,5,359
1980,Luc,5,359
1980,Lukas,5,359
1980,Marshall,5,359
1980,Mason,5,359
1980,Mike,5,359
1980,Miles,5,359
1980,Monty,5,359
1980,Myles,5,359
1980,Nicolas,5,359
1980,Perry,5,359
1980,Quinton,5,359
1980,Randal,5,359
1980,Ray,5,359
1980,Rene,5,359
1980,Rhys,5,359
1980,Sonny,5,359
1980,Stacy,5,359
1980,Tobias,5,359
1980,Waylon,5,359
1980,Ahmad,4,407
1980,Alfred,4,407
1980,Amandeep,4,407
1980,Arif,4,407
1980,Arnold,4,407
1980,Brenden,4,407
1980,Callum,4,407
1980,Chance,4,407
1980,Clarence,4,407
1980,Darrel,4,407
1980,Dexter,4,407
1980,Dieter,4,407
1980,Dillon,4,407
1980,Donny,4,407
1980,Dorian,4,407
1980,Edgar,4,407
1980,Eldon,4,407
1980,Elias,4,407
1980,Ervin,4,407
